epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2802.32,0.59641,0.75431,1,0.48017,0.000235796,0.000235796,0.000235796
2,5213.94,0.47561,0.81897,1,0.33971,0.00042689,0.00042689,0.00042689
3,9140.64,0.42973,0.85345,1,0.35928,0.000570861,0.000570861,0.000570861
4,10944.5,0.38854,0.90517,1,0.24969,0.000501942,0.000501942,0.000501942
5,12074.4,0.35032,0.90086,1,0.21795,0.000431256,0.000431256,0.000431256
6,13187.2,0.28256,0.92241,1,0.20758,0.00036057,0.00036057,0.00036057
7,14250.3,0.21789,0.89655,1,0.25429,0.000289884,0.000289884,0.000289884
8,15362.9,0.20644,0.90086,1,0.23467,0.000219198,0.000219198,0.000219198
9,16476.3,0.19087,0.90517,1,0.21669,0.000148512,0.000148512,0.000148512
10,17580.6,0.15129,0.93534,1,0.17716,7.7826e-05,7.7826e-05,7.7826e-05
